OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,07:30:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-106,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,4.5,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12190059-W-BS 01-1990-0,Sample,Water,,1990-01-03,11:10:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-013,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:35:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-46,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,5.8,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21ARIZ,Arizona Department of Environmental Quality,21ARIZ-M0109901200W-011990-0,Sample,Water,,1990-01-09,12:00:00,MST,,,,.1,m,SURFACE,,,,,FSN,,21ARIZ-100232,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21ARIZ,,,ARIZONA STATE LAB,,,,10,ug/l,,STORET
21ARIZ,Arizona Department of Environmental Quality,21ARIZ-M0109901200W-011990-0,Sample,Water,,1990-01-09,12:00:00,MST,,,,.1,m,SURFACE,,,,,FSN,,21ARIZ-100232,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21ARIZ,,,ARIZONA STATE LAB,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-145,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,2.5,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,14:00:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-117,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,3.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12187539-W-BS 01-1990-0,Sample,Water,,1990-01-02,10:20:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-007,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:30:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-111,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,9.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0103901300-011990-0,Sample,Water,,1990-01-03,13:00:00,MST,,,,,,,,,,,GW,,21ARIZGW-006085,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0103901235-011990-0,Sample,Water,,1990-01-03,12:35:00,MST,,,,,,,,,,,GW,,21ARIZGW-006085,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0103902145-011990-0,Sample,Water,,1990-01-03,21:45:00,MST,,,,,,,,,,,GW,,21ARIZGW-006085,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0103902150-011990-0,Sample,Water,,1990-01-03,21:50:00,MST,,,,,,,,,,,GW,,21ARIZGW-006085,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,08:25:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-100,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,7.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12211512-W-SKHWL 01-1990-0,Sample,Water,,1990-01-08,10:45:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-057,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12187358-W-BS 01-1990-0,Sample,Water,,1990-01-02,10:45:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-006,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000026-1990,Sample,Water,,1990-01-02,11:47:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-O7870000,X-sec location horizontal: 85.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000015-1990,Sample,Water,,1990-01-02,11:18:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-O7870000,X-sec location horizontal: 5.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000020-1990,Sample,Water,,1990-01-02,11:35:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-O7870000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:05:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-2,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,8.9,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000270-1990,Sample,Water,,1990-01-04,11:10:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-O9758500,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,11:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-92,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,4.3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12211352-W-SKHWL 01-1990-0,Sample,Water,,1990-01-08,10:15:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-056,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:00:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-113,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,1.5,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21FLSFWM,South Florida Water Management District,21FLSFWM-90SA09M40STQ-1990-0,Sample,Water,Surface Water,1990-01-09,13:40:00,EST,,,,.5,m,,,,,,ENP,,21FLSFWM-S18C,,,,,G,G,G,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,,,,,,,,WQ-1,21FLSFWM,,,SOUTH FLORIDA WATER MANAGEMENT DISTRICT,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,17:10:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-12,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,7.3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:45:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-93,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,5.3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:25:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-80,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,25.6,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,08:45:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-4,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,4.1,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12189224-W-BS 01-1990-0,Sample,Water,,1990-01-02,11:10:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-011,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000198-1990,Sample,Water,,1990-01-03,09:15:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-Q2040000,X-sec location horizontal: 5.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,10:35:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-137,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,0.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,06:12:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-43,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,10:35:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-84,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,5.6,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0109901126-011990-0,Sample,Water,,1990-01-09,11:26:00,MST,,,,,,,,,,,GW,,21ARIZGW-006268,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0103901425-011990-0,Sample,Water,,1990-01-03,14:25:00,MST,,,,,,,,,,,GW,,21ARIZGW-006082,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0103902145-011990-0,Sample,Water,,1990-01-03,21:45:00,MST,,,,,,,,,,,GW,,21ARIZGW-006082,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0103902035-011990-0,Sample,Water,,1990-01-03,20:35:00,MST,,,,,,,,,,,GW,,21ARIZGW-006082,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,13:20:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-141,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,0.6,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S90600-01031990,Sample,Water,,1990-01-03,10:55:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-124,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,mg/l,,Final,,Actual,,,,,,,,,,,,,200.7(W),USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S91297-01101990,Sample,Water,,1990-01-10,10:05:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-124,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,ug/l,,Final,,Actual,,,,,,,,,,,,,239.2,USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S90600-01031990,Sample,Water,,1990-01-03,10:55:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-124,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,ug/l,,Final,,Actual,,,,,,,,,,,,,239.2,USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S91297-01101990,Sample,Water,,1990-01-10,10:05:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-124,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,mg/l,,Final,,Actual,,,,,,,,,,,,,200.7(W),USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S90601-01031990,Sample,Water,,1990-01-03,11:30:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-160,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,mg/l,,Final,,Actual,,,,,,,,,,,,,200.7(W),USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S91298-01101990,Sample,Water,,1990-01-10,10:35:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-160,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,ug/l,,Final,,Actual,,,,,,,,,,,,,239.2,USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S91298-01101990,Sample,Water,,1990-01-10,10:35:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-160,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,mg/l,,Final,,Actual,,,,,,,,,,,,,200.7(W),USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S90601-01031990,Sample,Water,,1990-01-03,11:30:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-160,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,ug/l,,Final,,Actual,,,,,,,,,,,,,239.2,USEPA,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000089-1990,Sample,Water,,1990-01-03,10:00:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-C9790000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:25:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-31,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,2.8,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000204-1990,Sample,Water,,1990-01-03,10:45:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-Q2600000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12204224-W-BS 01-1990-0,Sample,Water,,1990-01-04,13:05:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-034,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,12:50:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-278,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,6.7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,06:50:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-62,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,3.1,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000443-1990,Sample,Water,,1990-01-10,12:40:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-N9600000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21FLSFWM,South Florida Water Management District,21FLSFWM-90SA09J15STQ-1990-0,Sample,Water,Surface Water,1990-01-09,10:15:00,EST,,,,.5,m,,,,,,ENP,,21FLSFWM-TAMBR105,,,,,G,G,G,Unknown,,Lead,Total,0.11,ug/l,,Final,,Actual,,,,,,,,,,,,,WQ-1,21FLSFWM,,,SOUTH FLORIDA WATER MANAGEMENT DISTRICT,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000320-1990,Sample,Water,,1990-01-09,12:30:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-M2750000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,09:10:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-30,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,6.5,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,08:35:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-107,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,3.2,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000365-1990,Sample,Water,,1990-01-09,11:00:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-Q5970000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12197394-W-WCTCC 01-1990-0,Sample,Water,,1990-01-10,10:30:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-023,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,11:30:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-94,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,4.7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,12:50:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-140,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,0.9,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,10:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-112,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,10.3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:35:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-82,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,6.7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-111272002-011990-0,Sample,Water,Water,1990-01-02,10:41:00,EST,,,,0.5,m,,,,,,AMB,,21FLORAN-BEB,,,,,SP-001,SP-001,SP-001,Unknown,,Lead,Total,0.001,mg/l,,Final,,Actual,,,,,,"Units, MDL and Qualifier Code Corrections 8/31/05 LLD QAO",,,,,,,200.7(W),USEPA,,,Orange County Environmental Protection Div Curry Ford Lab,,,,0.001,mg/l,,STORET
21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-111272001-011990-0,Sample,Water,Water,1990-01-02,10:41:00,EST,,,,0.5,m,,,,,,AMB,,21FLORAN-BEB,,,,,SP-001,SP-001,SP-001,Unknown,,Lead,Total,0.001,mg/l,,Final,,Actual,,,,,,"Units, MDL and Qualifier Code Corrections 8/31/05 LLD QAO",,,,,,,200.7(W),USEPA,,,Orange County Environmental Protection Div Curry Ford Lab,,,,0.001,mg/l,,STORET
